0xc6091bcb6820  BcdSyncMutant
0xc6092101e220  CDPUserSvc_Ready_db7a3b24-68b7-4c2e-8335-533dd99ee0f6_S-1-5-21-2995338997-3818539084-3023894279-1001
0xc609210213a0  SM0:3608:304:WilStaging_02
0xc60921056e60  N/A
0xc6092105ab00  N/A
0xc6092105c900  N/A
0xc60921062da0  N/A
0xc60921062e40  N/A
0xc60921063160  N/A
0xc60921063b60  N/A
0xc60921064880  N/A
0xc60921065460  N/A
0xc60921066ae0  N/A
0xc60921067800  N/A
0xc60921069a60  N/A
0xc6092106a320  N/A
0xc6092106a640  N/A
0xc6092106b680  N/A
0xc60921072340  N/A
0xc60921077dc0  N/A
0xc609210807e0  N/A
0xc609210818c0  N/A
0xc609210861e0  N/A
0xc609210863c0  N/A
0xc609210865a0  N/A
0xc609210866e0  N/A
0xc60921086780  N/A
0xc60921086820  N/A
0xc60921088620  N/A
0xc609210890c0  N/A
0xc60921089d40  N/A
0xc60921089f20  N/A
0xc6092108cd60  N/A
0xc6092108d6c0  N/A
0xc6092108d800  N/A
0xc6092108df80  N/A
0xc6092108e200  N/A
0xc6092108ed40  N/A
0xc609210950a0  N/A
0xc609212029e0  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:thumbcache_16.db!dfMaintainer
0xc60921202da0  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:thumbcache_idx.db!rwWriterMutex
0xc60921203220  N/A
0xc60921203460  N/A
0xc609212035e0  N/A
0xc609212039a0  N/A
0xc60921203a60  N/A
0xc60921203be0  N/A
0xc60921203ca0  N/A
0xc60921203e20  N/A
0xc60921203ee0  N/A
0xc60921203fa0  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:iconcache_wide_alternate.db!dfMaintainer
0xc60921204120  N/A
0xc609212041e0  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:thumbcache_wide_alternate.db!dfMaintainer
0xc609212042a0  N/A
0xc60921204420  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:iconcache_custom_stream.db!dfMaintainer
0xc609212044e0  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:thumbcache_exif.db!dfMaintainer
0xc609212045a0  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:thumbcache_custom_stream.db!dfMaintainer
0xc60921204660  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:iconcache_idx.db!rwWriterMutex
0xc60921204720  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:iconcache_16.db!dfMaintainer
0xc609212047e0  N/A
0xc609212048a0  N/A
0xc60921204960  N/A
0xc60921204a20  N/A
0xc60921204ba0  N/A
0xc60921204c60  N/A
0xc60921204d20  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:thumbcache_768.db!dfMaintainer
0xc60921204de0  N/A
0xc60921204f60  N/A
0xc609212050e0  C::Users:krist:AppData:Local:Microsoft:Windows:Explorer:thumbcache_1920.db!dfMaintainer
0xc60921206160  N/A
0xc609212069a0  SM0:3608:120:WilError_03
0xc6092120be60  SM0:1740:120:WilError_03
0xc6092120eaa0  SignalManager_RegistrationCacheMutex
0xc60921210c60  ZonesLockedCacheCounterMutex
0xc60921210f60  ZonesCacheCounterMutex
0xc609212128e0  SM0:536:304:WilStaging_02
0xc60921214da0  N/A
0xc6092121bca0  N/A
0xc6092121de60  SM0:3996:120:WilError_03
0xc609215027d0  SM0:3584:304:WilStaging_02
0xc60921505c50  DBWinMutex
0xc609215069d0  SM0:3584:120:WilError_03
0xc60921506d90  SessionImmersiveColorMutex
0xc60921507090  SM0:4132:120:WilError_03
0xc60921507bd0  SM0:4132:304:WilStaging_02
0xc60921508ad0  ZonesLockedCacheCounterMutex
0xc60921509490  ZonesCacheCounterMutex
0xc6092150b650  SM0:6396:304:WilStaging_02
0xc6092150fb50  SM0:4252:304:WilStaging_02
0xc60921511ad0  SM0:4356:120:WilError_03
0xc60921512310  SM0:4356:304:WilStaging_02
0xc609215129d0  SearchServiceMUT
0xc60921516690  Instance0:  ESENT Performance Data Schema Version 295
0xc60921517710  LowInternetExplorerDOMStoreQuota
0xc60921517dd0  Lowhttps://www.bing.com/
0xc60921519d50  SM0:648:120:WilError_03
0xc6092151f5d0  N/A
0xc60921523dd0  SM0:1992:120:WilError_03
0xc6092152a850  SM0:4252:120:WilError_03
0xc6092153f910  _SHuassist.mtx
0xc60921626ea0  N/A
0xc60921629920  N/A
0xc60921633380  N/A
0xc60921635c20  N/A
0xc60921638f60  N/A
0xc60921639280  N/A
0xc60921639460  N/A
0xc60921639780  N/A
0xc60921639f00  N/A
0xc6092163a360  N/A
0xc60921643820  N/A
0xc60921845a30  N/A
0xc60921845e90  N/A
0xc6092184ad50  N/A
0xc6092184e950  N/A
0xc6092184fd50  N/A
0xc60921850f70  N/A
0xc60921852910  N/A
0xc60921853130  N/A
0xc60921853310  N/A
0xc609218533b0  N/A
0xc609218534f0  N/A
0xc60921853590  N/A
0xc60921858450  N/A
0xc60921859170  N/A
0xc60921859d50  N/A
0xc60921867e50  N/A
0xc60921868210  N/A
0xc60921868260  N/A
0xc60921869390  N/A
0xc60921869570  N/A
0xc6092186abf0  N/A
0xc6092186cbd0  N/A
0xc6092186cef0  N/A
0xc6092186ecf0  N/A
0xc6092186f8d0  N/A
0xc609218704b0  N/A
0xc60921872e90  N/A
0xc60921874d30  N/A
0xc609218750f0  N/A
0xc60921875690  N/A
0xc6092187b4f0  N/A
0xc6092187be50  N/A
0xc6092187db10  N/A
0xc6092187e8d0  N/A
0xc60921883150  N/A
0xc60921d44d90  SM0:5104:304:WilStaging_02
0xc60921d45f90  SM0:5044:304:WilStaging_02
0xc60921d46d10  SM0:2636:304:WilStaging_02
0xc60921d470d0  SM0:5044:120:WilError_03
0xc60921d5d2d0  SM0:1404:304:WilStaging_02
0xc60921d5e650  SmartScreenRemoteDatacustomSettings8cbdfd05c9b606e5dfc1748d0eb6a846
0xc60921d5e710  SmartScreenRemoteDataedgeSettings8cbdfd05c9b606e5dfc1748d0eb6a846
0xc60921d5e890  SM0:4196:304:WilStaging_02
0xc60921d5e950  SmartScreenRemoteDatawarnStateCache619e33c4e9ba1fa07c3bd62b45c2a8cb
0xc60921d5ea10  SmartScreenRemoteDatacustomSynchronousLookupUris8cbdfd05c9b606e5dfc1748d0eb6a846
0xc60921d5ead0  SmartScreenRemoteDatatopTraffic8cbdfd05c9b606e5dfc1748d0eb6a846
0xc60921d5ec50  SmartScreenRemoteDatadownloadCache619e33c4e9ba1fa07c3bd62b45c2a8cb
0xc60921d5edd0  SmartScreenRemoteDatauriCache619e33c4e9ba1fa07c3bd62b45c2a8cb
0xc60921d5ee90  N/A
0xc60921d6c210  SessionImmersiveColorMutex
0xc60921d6c8d0  SM0:5416:304:WilStaging_02
0xc60921d6ca50  SM0:5416:120:WilError_03
0xc60921d70bf0  ?????????
0xc60921d73950  SM0:5784:304:WilStaging_02
0xc60921d75bd0  SM0:5836:120:WilError_03
0xc60921d75f90  SM0:5836:304:WilStaging_02
0xc60921d79290  .NET Memory Cache 4.0_Perf_Library_Lock_PID_1698
0xc60921d79650  BITS_Perf_Library_Lock_PID_1698
0xc60921d79710  LSM_Perf_Library_Lock_PID_1698
0xc60921d797d0  MSDTC_Perf_Library_Lock_PID_1698
0xc60921d79950  MSSCNTRS_Perf_Library_Lock_PID_1698
0xc60921d79a10  PerfDisk_Perf_Library_Lock_PID_1698
0xc60921d79c50  .NETFramework_Perf_Library_Lock_PID_1698
0xc60921d79d10  .NET Data Provider for SqlServer_Perf_Library_Lock_PID_1698
0xc60921d79dd0  .NET CLR Data_Perf_Library_Lock_PID_1698
0xc60921d79f50  ESENT_Perf_Library_Lock_PID_1698
0xc60921d7a0d0  Lsa_Perf_Library_Lock_PID_1698
0xc60921d7a190  MSDTC Bridge 3.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7a250  PerfOS_Perf_Library_Lock_PID_1698
0xc60921d7a490  PerfNet_Perf_Library_Lock_PID_1698
0xc60921d7a6d0  .NET CLR Networking 4.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7a790  MSDTC Bridge 4.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7a850  PerfProc_Perf_Library_Lock_PID_1698
0xc60921d7a910  .NET CLR Networking_Perf_Library_Lock_PID_1698
0xc60921d7a9d0  .NET Data Provider for Oracle_Perf_Library_Lock_PID_1698
0xc60921d7aa90  WmiApRpl_Perf_Library_Lock_PID_1698
0xc60921d7ac10  WSearchIdxPi_Perf_Library_Lock_PID_1698
0xc60921d7b2d0  rdyboost_Perf_Library_Lock_PID_1698
0xc60921d7b450  SMSvcHost 4.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7b510  ServiceModelService 3.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7b5d0  RemoteAccess_Perf_Library_Lock_PID_1698
0xc60921d7b690  TapiSrv_Perf_Library_Lock_PID_1698
0xc60921d7b750  Tcpip_Perf_Library_Lock_PID_1698
0xc60921d7b810  UGTHRSVC_Perf_Library_Lock_PID_1698
0xc60921d7b8d0  usbhub_Perf_Library_Lock_PID_1698
0xc60921d7b990  Windows Workflow Foundation 4.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7ba50  ServiceModelEndpoint 3.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7bb10  Spooler_Perf_Library_Lock_PID_1698
0xc60921d7bbd0  SMSvcHost 3.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7bc90  UGatherer_Perf_Library_Lock_PID_1698
0xc60921d7be10  TermService_Perf_Library_Lock_PID_1698
0xc60921d7c110  ServiceModelOperation 3.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7c1d0  Windows Workflow Foundation 3.0.0.0_Perf_Library_Lock_PID_1698
0xc60921d7c350  SM0:5908:304:WilStaging_02
0xc60921d7ca10  SM0:5880:304:WilStaging_02
0xc60921d7cb90  SM0:5908:120:WilError_03
0xc60921d7e210  SM0:5988:304:WilStaging_02
0xc60921d7f4d0  Instance1:  ESENT Performance Data Schema Version 295
0xc60921d80310  SM0:6032:304:WilStaging_02
0xc60921d81bd0  SM0:6092:304:WilStaging_02
0xc60921e46ad0  N/A
0xc60921e4a6d0  N/A
0xc60921e4bad0  N/A
0xc60921e56430  N/A
0xc60921e57dd0  N/A
0xc60921e57fb0  N/A
0xc60921e5dcd0  N/A
0xc60921e65b10  N/A
0xc60921e65ed0  N/A
0xc60921e695d0  N/A
0xc60921e6a7f0  N/A
0xc60921e6b330  N/A
0xc60921e6dbd0  N/A
0xc60921e70b50  N/A
0xc60921e71690  N/A
0xc60921e71af0  N/A
0xc60921e735d0  N/A
0xc60921e73d50  N/A
0xc60921e73df0  N/A
0xc60921e741b0  N/A
0xc60921e744d0  N/A
0xc60921e74610  N/A
0xc60921e74f70  N/A
0xc60921e75150  N/A
0xc60921e75510  N/A
0xc60921e756f0  N/A
0xc60921e7a510  N/A
0xc60921f6b2d0  SM0:6132:304:WilStaging_02
0xc60921f6b810  App.95147aea6287a88f_6092_Mutex
0xc60921f6d790  SM0:5460:168:WilStaging_02
0xc60921f6dcd0  SM0:6092:120:WilError_03
0xc60921f6f710  N/A
0xc60921f72350  SM0:6132:120:WilError_03
0xc60921f72ad0  SkyDrive Mutex {8EAEBBD8-2370-4716-9C12-1C4BA22A988C} - 320807114
0xc60921f733d0  App.95147aea6287a88f_main_Mutex
0xc60921f73790  SM0:5460:64:WilError_03
0xc60921f75b90  OneDrive_NetworkLock
0xc60921f7a390  SM0:6720:304:WilStaging_02
0xc60921f910d0  SM0:1704:120:WilError_03
0xc60921f9b390  SM0:6388:304:WilStaging_02
0xc60921f9b450  SM0:6672:304:WilStaging_02
0xc60921f9bf90  SM0:6672:120:WilError_03
0xc60922245d30  N/A
0xc60922246550  N/A
0xc60922246f50  N/A
0xc60922248ad0  N/A
0xc60922248d50  N/A
0xc6092224a650  N/A
0xc6092224a790  N/A
0xc6092224e9d0  N/A
0xc6092224fc90  N/A
0xc60922250d70  N/A
0xc60922251590  N/A
0xc60922251c70  N/A
0xc60922255c30  N/A
0xc6092225dc50  N/A
0xc6092225f230  N/A
0xc6092225f7d0  N/A
0xc60922262930  N/A
0xc60922262ed0  N/A
0xc60922263150  N/A
0xc609222633d0  N/A
0xc60922268a10  N/A
0xc6092226a4f0  N/A
0xc6092226c610  N/A
0xc6092226f270  N/A
0xc6092226fc70  N/A
0xc60922270e90  N/A
0xc60922270f30  N/A
0xc60922273370  N/A
0xc60922273d70  N/A
0xc609222746d0  N/A
0xc60922274950  N/A
0xc60922279630  N/A
0xc60922279bd0  N/A
0xc6092227a0d0  N/A
0xc60922539930  N/A
0xc6092253b730  N/A
0xc6092253c6d0  N/A
0xc6092253ebb0  N/A
0xc60922541b30  N/A
0xc60922541bd0  N/A
0xc60922543930  N/A
0xc60922543cf0  N/A
0xc60922544d30  N/A
0xc60922544f10  N/A
0xc60922545c30  N/A
0xc609225490b0  N/A
0xc60922549150  N/A
0xc6092254cb70  N/A
0xc6092254d110  N/A
0xc60922552bb0  N/A
0xc6092255b530  N/A
0xc6092255c750  N/A
0xc6092255c9d0  N/A
0xc6092255dab0  N/A
0xc6092255df10  N/A
0xc60922d0d450  SM0:6284:168:WilStaging_02
0xc60922d0dc90  SM0:6284:64:WilError_03
0xc60922d10d50  SM0:4244:304:WilStaging_02
0xc60922d129d0  SM0:6316:304:WilStaging_02
0xc60922d19810  SM0:6316:120:WilError_03
0xc60922d1bcd0  SM0:3096:304:WilStaging_02
0xc60922d1d710  SM0:3096:120:WilError_03
0xc60922d1e6d0  SM0:6232:168:WilStaging_02
0xc60922f6f650  SM0:2540:304:WilStaging_02
0xc60922f6fe90  Microsoft-Windows-Safety-SmartScreen
0xc60922f70610  SM0:2540:120:WilError_03
0xc60922f70c10  SM0:828:120:WilError_03
0xc60922f70e50  SM0:6064:304:WilStaging_02
0xc60922f715d0  SM0:6064:120:WilError_03
0xc60922f718d0  SM0:828:304:WilStaging_02
0xc60922f73310  SM0:536:120:WilError_03
0xc60922f74690  SM0:1168:304:WilStaging_02
0xc60922f75410  SM0:2072:304:WilStaging_02
0xc60922f892e0
0xc60922f97e50  SM0:6608:304:WilStaging_02
0xc60922f9cb90  SM0:6608:120:WilError_03
0xc60922fabb90  SM0:5012:304:WilStaging_02
0xc60922fad450  SM0:5012:120:WilError_03
